attacker_hashpower,confirmations,analytical_probability,simulated_probability,ci_low,ci_high,attack_cost_btc,breakeven_tx_value_btc
0.05,0,1.0,0.100234,0.099646,0.100823,,
0.05,1,0.10120365051074376,0.05325,0.05281,0.05369,6.25,61.75666557933601
0.05,2,0.012646260399183706,0.002741,0.002639,0.002844,,
0.05,3,0.00164132109124826,0.000163,0.000138,0.000188,18.75,11423.724522872133
0.05,4,0.00021633073125126856,9e-06,4e-06,1.5e-05,,
0.05,5,2.8745518771300382e-05,0.0,0.0,3.8399852544566225e-06,,
0.05,6,3.83847413887306e-06,0.0,0.0,3.8399852544566225e-06,37.5,9769507.008065877
0.05,7,5.142336944041759e-07,0.0,0.0,3.8399852544566225e-06,,
0.05,8,6.904886729053317e-08,0.0,0.0,3.8399852544566225e-06,,
0.05,9,9.287184576933782e-09,0.0,0.0,3.8399852544566225e-06,,
0.05,10,1.2507451740972897e-09,0.0,0.0,3.8399852544566225e-06,62.5,49970210794.623795
0.05,11,1.68612568351989e-10,,,,,
0.05,12,2.2748913863779308e-11,,,,,
0.05,13,3.071098930718108e-12,,,,,
0.05,14,4.150013666048835e-13,,,,,
0.05,15,5.6066262743570405e-14,,,,,
0.05,16,7.66053886991358e-15,,,,,
0.05,17,1.1102230246251565e-15,,,,,
0.05,18,0.0,,,,,
0.05,19,1.1102230246251565e-16,,,,,
0.05,20,2.220446049250313e-16,,,,,
0.1,0,1.0,0.200315,0.199531,0.2011,,
0.1,1,0.20458727394278242,0.111026,0.110411,0.111642,6.25,30.549309737359117
0.1,2,0.05097789283933862,0.012566,0.012348,0.012785,,
0.1,3,0.013172241678896524,0.001366,0.001294,0.001439,18.75,1423.4479185148646
0.1,4,0.0034552434664851805,0.00014,0.000117,0.000164,,
0.1,5,0.0009136821879278667,1.6e-05,9e-06,2.4e-05,,
0.1,6,0.00024280274536292445,3e-06,0.0,7e-06,37.5,154446.3590967542
0.1,7,6.473531692707812e-05,0.0,0.0,3.8399852544566225e-06,,
0.1,8,1.729980418707644e-05,0.0,0.0,3.8399852544566225e-06,,
0.1,9,4.6311639726459575e-06,0.0,0.0,3.8399852544566225e-06,,
0.1,10,1.2414021748341497e-06,0.0,0.0,3.8399852544566225e-06,62.5,50346294.913129136
0.1,11,3.3310847569190116e-07,,,,,
0.1,12,8.945841367680174e-08,,,,,
0.1,13,2.4041039159428124e-08,,,,,
0.1,14,6.464451973720031e-09,,,,,
0.1,15,1.7390725526311712e-09,,,,,
0.1,16,4.68037386625042e-10,,,,,
0.1,17,1.2600709364818385e-10,,,,,
0.1,18,3.3934632881482685e-11,,,,,
0.1,19,9.141132295553689e-12,,,,,
0.1,20,2.4630297801309098e-12,,,,,
0.15,0,1.0,0.299726,0.298828,0.300624,,
0.15,1,0.3096983497692942,0.176674,0.175927,0.177422,6.250000000000001,20.180927682229683
0.15,2,0.1150410302791337,0.031218,0.030878,0.031559,,
0.15,3,0.04422780528370396,0.005488,0.005344,0.005633,18.75,423.9414522092184
0.15,4,0.017252996387371322,0.000948,0.000888,0.001009,,
0.15,5,0.006783781183198112,0.000164,0.000139,0.00019,,
0.15,6,0.0026804716367795356,2e-05,1.2e-05,2.9e-05,37.5,13990.075285801024
0.15,7,0.0010626433255369605,4e-06,1e-06,8e-06,,
0.15,8,0.00042226956058544207,1e-06,0.0,3e-06,,
0.15,9,0.00016809562633457453,0.0,0.0,3.8399852544566225e-06,,
0.15,10,6.700566400419383e-05,0.0,0.0,3.8399852544566225e-06,62.5,932756.9680689706
0.15,11,2.6738165436523964e-05,,,,,
0.15,12,1.0678911877004538e-05,,,,,
0.15,13,4.268061936207879e-06,,,,,
0.15,14,1.7068348799886834e-06,,,,,
0.15,15,6.829193710533588e-07,,,,,
0.15,16,2.733586199621385e-07,,,,,
0.15,17,1.0946014006307792e-07,,,,,
0.15,18,4.3844818220506454e-08,,,,,
0.15,19,1.756719447687516e-08,,,,,
0.15,20,7.0403471941205e-09,,,,,
0.2,0,1.0,0.399599,0.398639,0.400559,,
0.2,1,0.41589941269644637,0.250084,0.249235,0.250933,6.25,15.027672098593955
0.2,2,0.20392850912716864,0.062353,0.06188,0.062827,,
0.2,3,0.10324162253072999,0.015423,0.015182,0.015665,18.75,181.61279860183367
0.2,4,0.05299784479695124,0.004004,0.003881,0.004128,,
0.2,5,0.02741554005309732,0.000964,0.000904,0.001025,,
0.2,6,0.014250610363794602,0.000228,0.000199,0.000258,37.5,2631.4662349672603
0.2,7,0.00743191273205146,5.6e-05,4.2e-05,7.1e-05,,
0.2,8,0.0038850709098574576,1.2e-05,6e-06,1.9e-05,,
0.2,9,0.0020345663201655206,4e-06,1e-06,8e-06,,
0.2,10,0.001066952797483256,2e-06,0.0,5e-06,62.5,58578.03657989924
0.2,11,0.000560139109160751,,,,,
0.2,12,0.0002943295731767659,,,,,
0.2,13,0.00015477170895472625,,,,,
0.2,14,8.143609305721888e-05,,,,,
0.2,15,4.287155164051093e-05,,,,,
0.2,16,2.257958298512719e-05,,,,,
0.2,17,1.1896817931678072e-05,,,,,
0.2,18,6.270358837157097e-06,,,,,
0.2,19,3.3058477673097997e-06,,,,,
0.2,20,1.7433608473504947e-06,,,,,
0.25,0,1.0,0.499555,0.498575,0.500535,,
0.25,1,0.5223124596174737,0.333048,0.332124,0.333972,6.25,11.966017438253944
0.25,2,0.31544384128987724,0.111452,0.110836,0.112069,,
0.25,3,0.19611529521795934,0.036979,0.03661,0.037349,18.75,95.6070253427279
0.25,4,0.12351239671807723,0.012414,0.012197,0.012631,,
0.25,5,0.07835701207967505,0.004145,0.00402,0.004271,,
0.25,6,0.04994259877683238,0.001392,0.001319,0.001466,37.5,750.8620079537328
0.25,7,0.0319348258069001,0.000469,0.000427,0.000512,,
0.25,8,0.020468165019682072,0.000153,0.000129,0.000178,,
0.25,9,0.013142187327316979,5e-05,3.7e-05,6.4e-05,,
0.25,10,0.00845010004208735,1.4e-05,7e-06,2.2e-05,62.5,7396.362136389714
0.25,11,0.00543927438414471,,,,,
0.25,12,0.003504420152091403,,,,,
0.25,13,0.002259540995387055,,,,,
0.25,14,0.001457810642290891,,,,,
0.25,15,0.0009410611170701522,,,,,
0.25,16,0.0006077675436020336,,,,,
0.25,17,0.00039267516791818835,,,,,
0.25,18,0.0002537953538204185,,,,,
0.25,19,0.0001640853941667908,,,,,
0.25,20,0.000106115022556863,,,,,
0.3,0,1.0,0.600208,0.599248,0.601168,,
0.3,1,0.627749109982254,0.429366,0.428396,0.430336,6.250000000000001,9.95620686770338
0.3,2,0.44571709952398375,0.183709,0.18295,0.184468,,
0.3,3,0.32458410182048103,0.079122,0.078593,0.079651,18.75,57.76623036937938
